suara_presma_sah,alasan_suara_presma_tidak_sah,suara_dpm_sah,alasan_suara_dpm_tidak_sah,waktu,dalam_waktu_pemungutan,nim_email_hashed,jenis_email,input_fakultas,fakultas_tercatat,terdaftar,fakultas_benar,dapil_sesuai,pilihan_presma,pilihan_dpm_fh,pilihan_dpm_feb,pilihan_dpm_fp,pilihan_dpm_ft,pilihan_dpm_fisib,pilihan_dpm_fkis
true,,true,,2020-12-18 08:18:41 +0700 +07,true,025ffb63b26348aed1274572854fe45c,student,FT,FT,true,true,true,Pasangan calon nomor urut 1,,,,Calon DPM nomor urut 1,,
true,,true,,2020-12-18 08:18:41 +0700 +07,true,4009649aa9450ec897a8d56c45a86a54,student,FT,FT,true,true,true,Pasangan calon nomor urut 1,,,,Calon DPM nomor urut 1,,
true,,true,,2020-12-18 08:18:47 +0700 +07,true,466e9a50735c08441f9224e9230968e4,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:18:50 +0700 +07,true,73be217f9d2b7c0c8dd7ded22d729fc4,student,FT,FT,true,true,true,Pasangan calon nomor urut 1,,,,Calon DPM nomor urut 1,,
true,,true,,2020-12-18 08:18:59 +0700 +07,true,c3ec4397cee0a84ac21157ea1329ad41,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:19:05 +0700 +07,true,830564aa398fd8582a4423f385065b89,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:19:06 +0700 +07,true,c448d77c2f0029e1668db76df5e42bfa,student,FEB,FEB,true,true,true,Pasangan calon nomor urut 1,,Calon DPM nomor urut 1,,,,
true,,true,,2020-12-18 08:19:07 +0700 +07,true,1a4783077c873041832af97a8da9413e,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:19:08 +0700 +07,true,69eb5bb03fbd324ed22a1bff49550172,student,FT,FT,true,true,true,Pasangan calon nomor urut 1,,,,Calon DPM nomor urut 3,,
true,,true,,2020-12-18 08:19:11 +0700 +07,true,d1a00fdf61bdae6c369105ea1497f1f4,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:19:12 +0700 +07,true,3d93700fbb90fdb4445e95cf04584eba,student,FKis,FKis,true,true,true,Pasangan calon nomor urut 1,,,,,,Calon DPM nomor urut 2
true,,true,,2020-12-18 08:19:14 +0700 +07,true,d6e09415fa15fefc2ef9b60a8d82ae40,student,FT,FT,true,true,true,Pasangan calon nomor urut 1,,,,Calon DPM nomor urut 3,,
true,,true,,2020-12-18 08:19:16 +0700 +07,true,d7b7f3067ecee2598bd5c146d11ec5b1,student,FT,FT,true,true,true,Pasangan calon nomor urut 1,,,,Calon DPM nomor urut 2,,
true,,true,,2020-12-18 08:19:17 +0700 +07,true,ca7c8ff9ab1963f3e5dd1b121998e051,student,FH,FH,true,true,true,Pasangan calon nomor urut 1,Calon DPM nomor urut 4,,,,,
true,,true,,2020-12-18 08:19:17 +0700 +07,true,30164a3c1688d7fe82fee45197a63564,student,FKis,FKis,true,true,true,Pasangan calon nomor urut 1,,,,,,Calon DPM nomor urut 1
true,,true,,2020-12-18 08:19:21 +0700 +07,true,97a28bf65456fa6a914009ca624938e1,student,FT,FT,true,true,true,Pasangan calon nomor urut 1,,,,Calon DPM nomor urut 2,,
true,,true,,2020-12-18 08:19:21 +0700 +07,true,c4359d2a22fdcd9561579bcab33a0098,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:19:21 +0700 +07,true,0ebc419ef12859374d52e4e44b28480a,student,FT,FT,true,true,true,Pasangan calon nomor urut 1,,,,Calon DPM nomor urut 2,,
true,,true,,2020-12-18 08:19:23 +0700 +07,true,4255fdf3f4d9e785f6b4e791135a34ca,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:19:25 +0700 +07,true,f5762054a09e23bb003d721a5a6e8300,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:19:27 +0700 +07,true,d477b57e9afcb2227150bb5c34dc858a,student,FH,FH,true,true,true,Pasangan calon nomor urut 1,Calon DPM nomor urut 2,,,,,
true,,true,,2020-12-18 08:19:28 +0700 +07,true,2e4fb2c85afba3d0bee26c0b5a517c56,student,FT,FT,true,true,true,Pasangan calon nomor urut 1,,,,Calon DPM nomor urut 2,,
true,,true,,2020-12-18 08:19:28 +0700 +07,true,e04451c0a6adec394e13d915eac05201,student,FEB,FEB,true,true,true,Pasangan calon nomor urut 1,,Calon DPM nomor urut 2,,,,
